x,y,z,S_u,S_v,S_w
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,1.0152432679395935
0.0,0.0,0.1,0.0,0.0,1.863238368364281
0.0,0.0,0.15000000000000002,0.0,0.0,2.3947797117459473
0.0,0.0,0.2,0.0,0.0,2.4949395817303848
0.0,0.0,0.25,0.0,0.0,2.0958667873962575
0.0,0.0,0.30000000000000004,0.0,0.0,1.1848577165396712
0.0,0.0,0.35000000000000003,0.0,0.0,-0.1931254552020487
0.0,0.0,0.4,0.0,0.0,-1.9387672863659033
0.0,0.0,0.45,0.0,0.0,-3.9072448772199824
0.0,0.0,0.5,0.0,0.0,-5.921762640653614
0.0,0.0,0.55,0.0,0.0,-7.790466954670919
0.0,0.0,0.6000000000000001,0.0,0.0,-9.325094608327731
0.0,0.0,0.65,0.0,0.0,-10.359532839832568
0.0,0.0,0.7000000000000001,0.0,0.0,-10.766470942426551
0.0,0.0,0.75,0.0,0.0,-10.470503826962915
0.0,0.0,0.8,0.0,0.0,-9.45638907723584
0.0,0.0,0.8500000000000001,0.0,0.0,-7.771627672884568
0.0,0.0,0.9,0.0,0.0,-5.523088953597547
0.0,0.0,0.9500000000000001,0.0,0.0,-2.8679788095113414
0.0,0.0,1.0,0.0,0.0,-2.264068545440345e-15
0.0,0.05,0.0,0.0,0.9485866450743032,0.0
0.0,0.05,0.05,0.07688024442411864,0.954762733864901,1.002891090358398
0.0,0.05,0.1,0.15186744207961264,0.9722686511185479,1.8405787114381833
0.0,0.05,0.15000000000000002,0.22311515929196302,0.9981477115246865,2.365681247859769
0.0,0.05,0.2,0.28886904080578485,1.0278289233965332,2.4646756218728707
0.0,0.05,0.25,0.34751000783358654,1.055624605819728,2.070539382407386
0.0,0.05,0.30000000000000004,0.397594125148932,1.0753556473845656,1.1707230383988714
0.0,0.05,0.35000000000000003,0.4378881555638617,1.0810415149042814,-0.19036251210067956
0.0,0.05,0.4,0.4673999263213402,1.0675853724784474,-1.9146179446156024
0.0,0.05,0.45,0.48540275968136665,1.031384791660057,-3.8589930573335014
0.0,0.05,0.5,0.4914533661386386,0.9708055193627333,-5.848855915945449
0.0,0.05,0.55,0.4854027596813666,0.8864689450066572,-7.694700530666932
0.0,0.05,0.6000000000000001,0.4673999263213402,0.7813219882643766,-9.210567118847157
0.0,0.05,0.65,0.43788815556386174,0.6604793477025932,-10.232375048189576
0.0,0.05,0.7000000000000001,0.397594125148932,0.5308503335175752,-10.634370705699506
0.0,0.05,0.75,0.3475100078335866,0.400583673224372,-10.342070743103552
0.0,0.05,0.8,0.2888690408057849,0.27838165378952595,-9.340418122225513
0.0,0.05,0.8500000000000001,0.22311515929196285,0.1727479839566387,-7.6763312882291235
0.0,0.05,0.9,0.1518674420796127,0.09124054622682803,-5.455370462793371
