x,y,u,v
1.0,0.0,0.0,0.0
1.0,0.00044721359549995795,0.033205,0.0
1.0,0.0008944271909999159,0.06641,0.0
1.0,0.0013416407864998738,0.09958999999999998,0.0
1.0,0.0017888543819998318,0.13277,0.0
1.0,0.00223606797749979,0.165855,0.0
1.0,0.0026832815729997475,0.19894,0.0
1.0,0.0031304951684997056,0.23182499999999998,0.0
1.0,0.0035777087639996636,0.26471,0.0
1.0,0.004024922359499621,0.297245,0.0
1.0,0.00447213595499958,0.32978,0.0
1.0,0.004919349550499537,0.36178000000000005,0.0
1.0,0.005366563145999495,0.39378,0.0
1.0,0.0058137767414994535,0.42502500000000004,0.0
1.0,0.006260990336999411,0.45627,0.0
1.0,0.00670820393249937,0.48651500000000003,0.0
1.0,0.007155417527999327,0.51676,0.0
1.0,0.007602631123499285,0.545765,0.0
1.0,0.008049844718999243,0.5747699999999999,0.0
1.0,0.008497058314499201,0.60227,0.0
1.0,0.00894427190999916,0.62977,0.0
1.0,0.009391485505499116,0.655545,0.0
1.0,0.009838699100999075,0.68132,0.0
1.0,0.010285912696499033,0.7051550000000001,0.0
1.0,0.01073312629199899,0.72899,0.0
1.0,0.011180339887498949,0.7507250000000001,0.0
1.0,0.011627553482998907,0.77246,0.0
1.0,0.012074767078498866,0.7919900000000001,0.0
1.0,0.012521980673998822,0.81152,0.0
1.0,0.01296919426949878,0.828785,0.0
1.0,0.01341640786499874,0.84605,0.0
1.0,0.013863621460498696,0.86107,0.0
1.0,0.014310835055998655,0.87609,0.0
1.0,0.014758048651498613,0.88893,0.0
1.0,0.01520526224699857,0.90177,0.0
1.0,0.01565247584249853,0.91255,0.0
1.0,0.016099689437998485,0.92333,0.0
1.0,0.016546903033498445,0.932225,0.0
1.0,0.016994116628998402,0.94112,0.0
1.0,0.01744133022449836,0.9483199999999999,0.0
1.0,0.01788854381999832,0.95552,0.0
1.0,0.018335757415498276,0.96124,0.0
1.0,0.018782971010998233,0.96696,0.0
1.0,0.019230184606498193,0.971415,0.0
1.0,0.01967739820199815,0.97587,0.0
1.0,0.020124611797498106,0.9792799999999999,0.0
1.0,0.020571825392998067,0.98269,0.0
1.0,0.021019038988498023,0.98524,0.0
1.0,0.02146625258399798,0.98779,0.0
1.0,0.02191346617949794,0.98967,0.0
1.0,0.022360679774997897,0.99155,0.0
1.0,0.022807893370497857,0.9929,0.0
1.0,0.023255106965997814,0.99425,0.0
1.0,0.02370232056149777,0.995205,0.0
1.0,0.02414953415699773,0.99616,0.0
1.0,0.024596747752497688,0.99682,0.0
1.0,0.025043961347997645,0.99748,0.0
1.0,0.025491174943497605,0.9979300000000001,0.0
1.0,0.02593838853899756,0.99838,0.0
1.0,0.02638560213449752,0.99868,0.0
1.0,0.02683281572999748,0.99898,0.0
