x,y,z,u,v,w,p
0.0,0.0,0.0,-1.0,-1.0,-1.0,-0.0
0.0,0.0,0.3141592653589793,-0.9510565162951535,-0.6909830056250525,-1.0,-0.3090169943749474
0.0,0.0,0.6283185307179586,-0.8090169943749475,-0.41221474770752686,-1.0,-0.5877852522924731
0.0,0.0,0.9424777960769379,-0.5877852522924731,-0.19098300562505255,-1.0,-0.8090169943749475
0.0,0.0,1.2566370614359172,-0.30901699437494745,-0.04894348370484647,-1.0,-0.9510565162951535
0.0,0.0,1.5707963267948966,-6.123031769111886e-17,0.0,-1.0,-1.0
0.0,0.0,1.8849555921538759,0.30901699437494734,-0.04894348370484636,-1.0,-0.9510565162951536
0.0,0.0,2.199114857512855,0.587785252292473,-0.19098300562505255,-1.0,-0.8090169943749475
0.0,0.0,2.5132741228718345,0.8090169943749473,-0.41221474770752675,-1.0,-0.5877852522924732
0.0,0.0,2.827433388230814,0.9510565162951535,-0.6909830056250525,-1.0,-0.3090169943749475
0.0,0.0,3.141592653589793,1.0,-0.9999999999999999,-1.0,-1.2246063538223773e-16
0.0,0.0,3.4557519189487724,0.9510565162951536,-1.3090169943749472,-1.0,0.3090169943749473
0.0,0.0,3.7699111843077517,0.8090169943749476,-1.587785252292473,-1.0,0.587785252292473
0.0,0.0,4.084070449666731,0.5877852522924732,-1.8090169943749475,-1.0,0.8090169943749473
0.0,0.0,4.39822971502571,0.30901699437494756,-1.9510565162951536,-1.0,0.9510565162951535
0.0,0.0,4.71238898038469,1.836909530733566e-16,-2.0,-1.0,1.0
0.0,0.0,5.026548245743669,-0.30901699437494723,-1.9510565162951536,-1.0,0.9510565162951536
0.0,0.0,5.340707511102648,-0.5877852522924729,-1.8090169943749475,-1.0,0.8090169943749476
0.0,0.0,5.654866776461628,-0.8090169943749473,-1.5877852522924734,-1.0,0.5877852522924734
0.0,0.0,5.969026041820607,-0.9510565162951535,-1.3090169943749477,-1.0,0.3090169943749476
0.0,0.0,6.283185307179586,-1.0,-1.0000000000000002,-1.0,2.4492127076447545e-16
0.0,0.3141592653589793,0.0,-0.6909830056250525,-1.0,-0.9510565162951535,-0.3090169943749474
0.0,0.3141592653589793,0.3141592653589793,-0.6420395219202062,-0.6909830056250525,-0.9510565162951535,-0.6029096205211839
0.0,0.3141592653589793,0.6283185307179586,-0.5,-0.41221474770752686,-0.9510565162951535,-0.8377852522924731
0.0,0.3141592653589793,0.9424777960769379,-0.27876825791752574,-0.19098300562505255,-0.9510565162951535,-0.9906526263762876
0.0,0.3141592653589793,1.2566370614359172,-5.551115123125783e-17,-0.04894348370484647,-0.9510565162951535,-1.04654801910768
0.0,0.3141592653589793,1.5707963267948966,0.30901699437494734,0.0,-0.9510565162951535,-1.0
0.0,0.3141592653589793,1.8849555921538759,0.6180339887498947,-0.04894348370484636,-0.9510565162951535,-0.8555650134826274
0.0,0.3141592653589793,2.199114857512855,0.8968022466674204,-0.19098300562505255,-0.9510565162951535,-0.6273813623736073
0.0,0.3141592653589793,2.5132741228718345,1.1180339887498947,-0.41221474770752675,-0.9510565162951535,-0.3377852522924733
0.0,0.3141592653589793,2.827433388230814,1.2600735106701009,-0.6909830056250525,-0.9510565162951535,-0.015124368228710994
0.0,0.3141592653589793,3.141592653589793,1.3090169943749475,-0.9999999999999999,-0.9510565162951535,0.3090169943749473
0.0,0.3141592653589793,3.4557519189487724,1.260073510670101,-1.3090169943749472,-0.9510565162951535,0.6029096205211839
0.0,0.3141592653589793,3.7699111843077517,1.118033988749895,-1.587785252292473,-0.9510565162951535,0.837785252292473
0.0,0.3141592653589793,4.084070449666731,0.8968022466674206,-1.8090169943749475,-0.9510565162951535,0.9906526263762876
0.0,0.3141592653589793,4.39822971502571,0.6180339887498949,-1.9510565162951536,-0.9510565162951535,1.04654801910768
0.0,0.3141592653589793,4.71238898038469,0.30901699437494756,-2.0,-0.9510565162951535,1.0
0.0,0.3141592653589793,5.026548245743669,1.6653345369377348e-16,-1.9510565162951536,-0.9510565162951535,0.8555650134826274
0.0,0.3141592653589793,5.340707511102648,-0.2787682579175255,-1.8090169943749475,-0.9510565162951535,0.6273813623736074
0.0,0.3141592653589793,5.654866776461628,-0.49999999999999994,-1.5877852522924734,-0.9510565162951535,0.3377852522924734
0.0,0.3141592653589793,5.969026041820607,-0.6420395219202062,-1.3090169943749477,-0.9510565162951535,0.015124368228711105
0.0,0.3141592653589793,6.283185307179586,-0.6909830056250525,-1.0000000000000002,-0.9510565162951535,-0.3090169943749472
0.0,0.6283185307179586,0.0,-0.41221474770752686,-1.0,-0.8090169943749475,-0.5877852522924731
0.0,0.6283185307179586,0.3141592653589793,-0.3632712640026804,-0.6909830056250525,-0.8090169943749475,-0.8680339887498949
0.0,0.6283185307179586,0.6283185307179586,-0.22123174208247431,-0.41221474770752686,-0.8090169943749475,-1.06331351044005
0.0,0.6283185307179586,0.9424777960769379,0.0,-0.19098300562505255,-0.8090169943749475,-1.1545084971874737
0.0,0.6283185307179586,1.2566370614359172,0.2787682579175257,-0.04894348370484647,-0.8090169943749475,-1.1326921482964938
0.0,0.6283185307179586,1.5707963267948966,0.587785252292473,0.0,-0.8090169943749475,-1.0
0.0,0.6283185307179586,1.8849555921538759,0.8968022466674205,-0.04894348370484636,-0.8090169943749475,-0.7694208842938135
0.0,0.6283185307179586,2.199114857512855,1.1755705045849463,-0.19098300562505255,-0.8090169943749475,-0.46352549156242123
0.0,0.6283185307179586,2.5132741228718345,1.3968022466674204,-0.41221474770752675,-0.8090169943749475,-0.11225699414489648
0.0,0.6283185307179586,2.827433388230814,1.5388417685876266,-0.6909830056250525,-0.8090169943749475,0.24999999999999994
