x,y,S_u,S_v,S_p
0.68,0.04,0.02121594582657016,3.1548219598914793,0.0
0.7000000000000001,0.04,-0.14101093027530331,3.057618546991642,0.0
0.72,0.04,-0.2850171558877306,2.94988979277643,0.0
0.74,0.04,-0.4096543501466148,2.832060853422141,0.0
0.76,0.04,-0.5141382948201847,2.704596745921489,0.0
0.78,0.04,-0.5980566395129883,2.5680005128739647,0.0
0.8,0.04,-0.6613705290245164,2.422811237206524,0.0
0.8200000000000001,0.04,-0.704410146440021,2.269601914659556,0.0
0.84,0.04,-0.7278642622493461,2.1089771924344736,0.0
0.86,0.04,-0.732763975004888,1.9415709829274412,0.0
0.88,0.04,-0.7204609212377977,1.768043961966762,0.0
0.9,0.04,-0.6926003200956699,1.5890809614272134,0.0
0.92,0.04,-0.6510893000594138,1.405388266511507,0.0
0.9400000000000001,0.04,-0.5980610298485258,1.2176908283652654,0.0
0.96,0.04,-0.535835242052316,1.0267294030260499,0.0
0.98,0.04,-0.46687579508118227,0.833257627997696,0.0
1.0,0.04,-0.3937459658162721,0.6380390479873952,0.0
0.0,0.06,0.5886757613225103,0.20837280573667105,0.0
0.02,0.06,0.906135264213828,0.40287084967579323,0.0
0.04,0.06,1.2176908283652654,0.5980610298485259,0.0
0.06,0.06,1.5198217608527878,0.7931730197876381,0.0
0.08,0.06,1.8091174072621357,0.9874368016070292,0.0
0.1,0.06,2.0823255956104396,1.1800857049105384,0.0
0.12,0.06,2.336398754307244,1.3703594324897383,0.0
0.14,0.06,2.5685369972536596,1.5575070608696717,0.0
0.16,0.06,2.7762275162435426,1.7407900038607411,0.0
0.18,0.06,2.957279678224283,1.9194849274209724,0.0
0.2,0.06,3.1098552917950775,2.0928866043250185,0.0
0.22,0.06,3.2324935825174776,2.2603106973738303,0.0
0.24,0.06,3.324130499004319,2.4210964601609355,0.0
0.26,0.06,3.3841120600438037,2.5746093447366425,0.0
0.28,0.06,3.4122015458174766,2.720243505878896,0.0
0.3,0.06,3.4085804321252042,2.857424192087587,0.0
0.32,0.06,3.37384306393019,2.985610013866144,0.0
0.34,0.06,3.308985161951557,3.1042950803385394,0.0
0.36,0.06,3.2153863519299875,3.2130109957694533,0.0
0.38,0.06,3.0947869990663395,3.3113287081082587,0.0
0.4,0.06,2.9492597185248695,3.3988602022614454,0.0
0.42,0.06,2.7811760154132834,3.4752600314109245,0.0
0.44,0.06,2.5931685830056153,3.5402266803348077,0.0
0.46,0.06,2.3880898549782543,3.593503755350229,0.0
0.48,0.06,2.1689674650333917,3.6348809961820825,0.0
0.5,0.06,1.9389573145851666,3.6641951057642705,0.0
0.52,0.06,1.7012949854416102,3.6813303946986116,0.0
0.54,0.06,1.459246259064114,3.686219237828053,0.0
0.56,0.06,1.2160575166426728,3.6788423411222624,0.0
0.58,0.06,0.9749067946954828,3.6592288178223544,0.0
0.6,0.06,0.7388562591838805,3.6274560735442267,0.0
0.62,0.06,0.5108068374182941,3.5836495007939577,0.0
0.64,0.06,0.2934557116970622,3.527981984100876,0.0
0.66,0.06,0.08925733223022747,3.4606732177212978,0.0
0.68,0.06,-0.09961144980888759,3.3819888386056745,0.0
0.7000000000000001,0.06,-0.2712815943911824,3.2922393780509007,0.0
0.72,0.06,-0.4242169696877709,3.1917790361751592,0.0
0.74,0.06,-0.5572339555600938,3.0810042840518674,0.0
0.76,0.06,-0.6695152625672431,2.960352299019487,0.0
0.78,0.06,-0.7606177676869137,2.8302992393422914,0.0
0.8,0.06,-0.830474263119521,2.691358365031235,0.0
0.8200000000000001,0.06,-0.8793891112737793,2.5440780122411764,0.0
0.84,0.06,-0.9080278957879436,2.3890394292385855,0.0
0.86,0.06,-0.917401253695683,2.2268544824801815,0.0
0.88,0.06,-0.9088431660945472,2.0581632418555653,0.0
0.9,0.06,-0.8839840724615848,1.883631454623787,0.0
0.92,0.06,-0.8447192556988259,1.7039479180130597,0.0
0.9400000000000001,0.06,-0.7931730197876381,1.5198217608527878,0.0
0.96,0.06,-0.7316592484050277,1.3319796449660437,0.0
0.98,0.06,-0.6626389899578984,1.1411628973673307,0.0
1.0,0.06,-0.5886757613225104,0.9481245845835422,0.0
0.0,0.08,0.7812823225391824,0.2658427407251866,0.0
0.02,0.08,1.0966632273084786,0.4578762872378749,0.0
0.04,0.08,1.4053882665115067,0.6510893000594139,0.0
0.06,0.08,1.7039479180130597,0.844719255698826,0.0
0.08,0.08,1.9889456216133656,1.0380019851823143,0.0
0.1,0.08,2.25714616734628,1.2301746898790875,0.0
0.12,0.08,2.5055217464989763,1.420478951919065,0.0
0.14,0.08,2.731294958716047,1.608163727321722,0.0
0.16,0.08,2.9319781156597338,1.7924883100235622,0.0
0.18,0.08,3.1054082391340625,1.9727252551065528,0.0
0.2,0.08,3.249777218442037,2.1481632496908794,0.0
0.22,0.08,3.3636566669813885,2.3181099201619126,0.0
0.24,0.08,3.4460171005135165,2.4818945646525523,0.0
0.26,0.08,3.4962411478668214,2.638870799997081,0.0
0.28,0.08,3.514130597671585,2.7884191127102125,0.0
0.3,0.08,3.4999071806096893,2.9299493039237943,0.0
0.32,0.08,3.454207084092006,3.0629028186320997,0.0
0.34,0.08,3.378069293717954,3.1867549500532593,0.0
0.36,0.08,3.2729179517944216,3.301016910407209,0.0
0.38,0.08,3.140539016087833,3.405237759937757,0.0
0.4,0.08,2.9830515903943464,3.499006186565782,0.0
0.42,0.08,2.802874381050513,3.581952129150104,0.0
0.44,0.08,2.602687808874469,3.6537482379497384,0.0
0.46,0.08,2.3853923730431474,3.7141111665237756,0.0
0.48,0.08,2.1540639210231594,3.762802689970332,0.0
0.5,0.08,1.9119065259792365,3.799630645091406,0.0
0.52,0.08,1.6622037093442792,3.8244496887732264,0.0
0.54,0.08,1.4082687708830335,3.8371618715891236,0.0
0.56,0.08,1.1533950012342946,3.837717024361168,0.0
0.58,0.08,0.9008065523803437,3.826112956154992,0.0
0.6,0.08,0.6536107297652176,3.802395462926412,0.0
0.62,0.08,0.4147524460557448,3.7666581467857085,0.0
0.64,0.08,0.1869715411902575,3.7190420465928624,0.0
0.66,0.08,-0.027236373047831997,3.659735081341608,0.0
0.68,0.08,-0.22565494242438122,3.5889713085290174,0.0
0.7000000000000001,0.08,-0.4063774382625511,3.5070300004374895,0.0
0.72,0.08,-0.567832003238675,3.4142345419746376,0.0
0.74,0.08,-0.7088013958645749,3.3109511544208017,0.0
0.76,0.08,-0.8284369421829971,3.1975874501209685,0.0
0.78,0.08,-0.926266495348905,3.0745908238250563,0.0
