x,y,z,u,v,w
4.0,-0.5,0.0,0.0,0.0,0.0
4.0,-0.49,0.0,0.000830171126587781,0.0,0.0
4.0,-0.48,0.0,0.0016401595087764688,0.0,0.0
4.0,-0.47,0.0,0.0024224691332419544,0.0,0.0
4.0,-0.46,0.0,0.0031803098508288953,0.0,0.0
4.0,-0.45,0.0,0.003916775508124977,0.0,0.0
4.0,-0.44,0.0,0.0046305942050955335,0.0,0.0
4.0,-0.43,0.0,0.005320545862019897,0.0,0.0
4.0,-0.42,0.0,0.005988239976792211,0.0,0.0
4.0,-0.41000000000000003,0.0,0.006635252327486954,0.0,0.0
4.0,-0.4,0.0,0.007261040516426678,0.0,0.0
4.0,-0.39,0.0,0.007865075608610803,0.0,0.0
4.0,-0.38,0.0,0.008448516840787472,0.0,0.0
4.0,-0.37,0.0,0.009012505298475654,0.0,0.0
4.0,-0.36,0.0,0.009556757615125176,0.0,0.0
4.0,-0.35,0.0,0.010080992555271753,0.0,0.0
4.0,-0.33999999999999997,0.0,0.01058614620460443,0.0,0.0
4.0,-0.32999999999999996,0.0,0.01107314064611593,0.0,0.0
4.0,-0.32,0.0,0.01154180905941227,0.0,0.0
4.0,-0.31,0.0,0.011991981568498228,0.0,0.0
4.0,-0.3,0.0,0.012424451276738482,0.0,0.0
4.0,-0.29000000000000004,0.0,0.012839998596363637,0.0,0.0
4.0,-0.28,0.0,0.01323850985498312,0.0,0.0
4.0,-0.27,0.0,0.013619865394260933,0.0,0.0
4.0,-0.26,0.0,0.013984752064690839,0.0,0.0
4.0,-0.25,0.0,0.014333844480355382,0.0,0.0
4.0,-0.24,0.0,0.01466704789392656,0.0,0.0
4.0,-0.22999999999999998,0.0,0.014984259764533093,0.0,0.0
4.0,-0.21999999999999997,0.0,0.015286080592133032,0.0,0.0
4.0,-0.21000000000000002,0.0,0.015573098847955378,0.0,0.0
4.0,-0.2,0.0,0.015845218070845407,0.0,0.0
4.0,-0.19,0.0,0.016102332858584017,0.0,0.0
4.0,-0.18,0.0,0.01634496968301258,0.0,0.0
4.0,-0.16999999999999998,0.0,0.01657364315110168,0.0,0.0
4.0,-0.15999999999999998,0.0,0.01678824171901758,0.0,0.0
4.0,-0.14999999999999997,0.0,0.01698864416943857,0.0,0.0
4.0,-0.14,0.0,0.017175311486214498,0.0,0.0
4.0,-0.13,0.0,0.017348692966380374,0.0,0.0
4.0,-0.12,0.0,0.017508652817817022,0.0,0.0
4.0,-0.10999999999999999,0.0,0.017655045103390107,0.0,0.0
4.0,-0.09999999999999998,0.0,0.017788271808078782,0.0,0.0
4.0,-0.08999999999999997,0.0,0.01790872342662573,0.0,0.0
4.0,-0.08000000000000002,0.0,0.01801623325286084,0.0,0.0
4.0,-0.07,0.0,0.0181106241195534,0.0,0.0
4.0,-0.06,0.0,0.0181922443118197,0.0,0.0
4.0,-0.04999999999999999,0.0,0.01826143082791413,0.0,0.0
4.0,-0.03999999999999998,0.0,0.018317980839009596,0.0,0.0
4.0,-0.02999999999999997,0.0,0.018361680821674407,0.0,0.0
4.0,-0.020000000000000018,0.0,0.01839282995228898,0.0,0.0
4.0,-0.010000000000000009,0.0,0.018411716319718906,0.0,0.0
4.0,0.0,0.0,0.018418096536133514,0.0,0.0
4.0,0.010000000000000009,0.0,0.018411716319718906,0.0,0.0
4.0,0.020000000000000018,0.0,0.01839282995228898,0.0,0.0
4.0,0.030000000000000027,0.0,0.018361680821674407,0.0,0.0
4.0,0.040000000000000036,0.0,0.018317980839009592,0.0,0.0
4.0,0.050000000000000044,0.0,0.018261430827914125,0.0,0.0
4.0,0.06000000000000005,0.0,0.018192244311819695,0.0,0.0
4.0,0.07000000000000006,0.0,0.018110624119553408,0.0,0.0
4.0,0.07999999999999996,0.0,0.018016233252860836,0.0,0.0
4.0,0.08999999999999997,0.0,0.01790872342662573,0.0,0.0
4.0,0.09999999999999998,0.0,0.017788271808078786,0.0,0.0
4.0,0.10999999999999999,0.0,0.01765504510339011,0.0,0.0
4.0,0.12,0.0,0.017508652817817022,0.0,0.0
4.0,0.13,0.0,0.01734869296638037,0.0,0.0
4.0,0.14,0.0,0.0171753114862145,0.0,0.0
4.0,0.15000000000000002,0.0,0.016988644169438568,0.0,0.0
4.0,0.16000000000000003,0.0,0.016788241719017574,0.0,0.0
4.0,0.17000000000000004,0.0,0.01657364315110168,0.0,0.0
4.0,0.18000000000000005,0.0,0.016344969683012578,0.0,0.0
4.0,0.19000000000000006,0.0,0.016102332858584017,0.0,0.0
4.0,0.20000000000000007,0.0,0.015845218070845407,0.0,0.0
4.0,0.20999999999999996,0.0,0.015573098847955377,0.0,0.0
4.0,0.21999999999999997,0.0,0.01528608059213303,0.0,0.0
4.0,0.22999999999999998,0.0,0.014984259764533095,0.0,0.0
4.0,0.24,0.0,0.014667047893926557,0.0,0.0
4.0,0.25,0.0,0.014333844480355386,0.0,0.0
4.0,0.26,0.0,0.013984752064690843,0.0,0.0
4.0,0.27,0.0,0.013619865394260931,0.0,0.0
4.0,0.28,0.0,0.013238509854983127,0.0,0.0
4.0,0.29000000000000004,0.0,0.012839998596363637,0.0,0.0
4.0,0.30000000000000004,0.0,0.012424451276738486,0.0,0.0
4.0,0.31000000000000005,0.0,0.011991981568498226,0.0,0.0
4.0,0.32000000000000006,0.0,0.01154180905941227,0.0,0.0
4.0,0.33000000000000007,0.0,0.011073140646115925,0.0,0.0
4.0,0.33999999999999997,0.0,0.010586146204604437,0.0,0.0
4.0,0.35,0.0,0.010080992555271754,0.0,0.0
4.0,0.36,0.0,0.00955675761512518,0.0,0.0
4.0,0.37,0.0,0.009012505298475656,0.0,0.0
4.0,0.38,0.0,0.008448516840787477,0.0,0.0
4.0,0.39,0.0,0.007865075608610803,0.0,0.0
4.0,0.4,0.0,0.007261040516426685,0.0,0.0
4.0,0.41000000000000003,0.0,0.006635252327486952,0.0,0.0
4.0,0.42000000000000004,0.0,0.005988239976792209,0.0,0.0
4.0,0.43000000000000005,0.0,0.005320545862019891,0.0,0.0
4.0,0.44000000000000006,0.0,0.00463059420509553,0.0,0.0
4.0,0.45000000000000007,0.0,0.003916775508124979,0.0,0.0
4.0,0.45999999999999996,0.0,0.003180309850828904,0.0,0.0
4.0,0.47,0.0,0.002422469133241955,0.0,0.0
4.0,0.48,0.0,0.0016401595087764736,0.0,0.0
4.0,0.49,0.0,0.0008301711265877803,0.0,0.0
4.0,0.5,0.0,3.3113497675976535e-18,0.0,0.0
