Re_x,delta_99,Cf,delta_star,theta
10000.0,0.05,0.00664,0.017208,0.00664
50000.0,0.022360679774997897,0.002969498274119721,0.007695651551363277,0.002969498274119721
100000.0,0.015811388300841896,0.002099752366351804,0.005441647397617747,0.002099752366351804
500000.0,0.007071067811865475,0.0009390378054157352,0.002433578698131622,0.0009390378054157352
1000000.0,0.005,0.000664,0.0017208000000000002,0.000664
