x,y,z,u,v,w
0.5,0.0,0.0,0.0,0.0,0.0
0.5,0.05,0.0,0.0,0.0,0.0
0.5,0.1,0.0,0.0,0.0,0.0
0.5,0.15000000000000002,0.0,0.0,0.0,0.0
0.5,0.2,0.0,0.0,0.0,0.0
0.5,0.25,0.0,0.0,0.0,0.0
0.5,0.30000000000000004,0.0,0.0,0.0,0.0
0.5,0.35000000000000003,0.0,0.0,0.0,0.0
0.5,0.4,0.0,0.0,0.0,0.0
0.5,0.45,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,0.0
0.5,0.55,0.0,0.0,0.0,0.0
0.5,0.6000000000000001,0.0,0.0,0.0,0.0
0.5,0.65,0.0,0.0,0.0,0.0
0.5,0.7000000000000001,0.0,0.0,0.0,0.0
0.5,0.75,0.0,0.0,0.0,0.0
0.5,0.8,0.0,0.0,0.0,0.0
0.5,0.8500000000000001,0.0,0.0,0.0,0.0
0.5,0.9,0.0,0.0,0.0,0.0
0.5,0.9500000000000001,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.05,0.0,0.0,0.0
0.5,0.05,0.05,0.004382783242187102,0.0,0.0
0.5,0.1,0.05,0.0074397077001836405,0.0,0.0
0.5,0.15000000000000002,0.05,0.00972698040080455,0.0,0.0
0.5,0.2,0.05,0.011497680928635262,0.0,0.0
0.5,0.25,0.05,0.012879203394743336,0.0,0.0
0.5,0.30000000000000004,0.05,0.013937100521242939,0.0,0.0
0.5,0.35000000000000003,0.05,0.014715189648650368,0.0,0.0
0.5,0.4,0.05,0.015251245811310253,0.0,0.0
0.5,0.45,0.05,0.015569480127732342,0.0,0.0
0.5,0.5,0.05,0.015675876599404396,0.0,0.0
0.5,0.55,0.05,0.015569480127732339,0.0,0.0
0.5,0.6000000000000001,0.05,0.015251245811310257,0.0,0.0
0.5,0.65,0.05,0.01471518964865037,0.0,0.0
0.5,0.7000000000000001,0.05,0.01393710052124294,0.0,0.0
0.5,0.75,0.05,0.012879203394743336,0.0,0.0
0.5,0.8,0.05,0.011497680928635266,0.0,0.0
0.5,0.8500000000000001,0.05,0.009726980400804544,0.0,0.0
0.5,0.9,0.05,0.007439707700183644,0.0,0.0
0.5,0.9500000000000001,0.05,0.0043827832421871014,0.0,0.0
0.5,1.0,0.05,4.106039495221776e-18,0.0,0.0
0.5,0.0,0.1,0.0,0.0,0.0
0.5,0.05,0.1,0.0074397077001836405,0.0,0.0
0.5,0.1,0.1,0.013085554875958038,0.0,0.0
0.5,0.15000000000000002,0.1,0.0174554541321526,0.0,0.0
0.5,0.2,0.1,0.020883462820229886,0.0,0.0
0.5,0.25,0.1,0.023571002768932762,0.0,0.0
0.5,0.30000000000000004,0.1,0.02563791923490078,0.0,0.0
0.5,0.35000000000000003,0.1,0.027166540121637054,0.0,0.0
0.5,0.4,0.1,0.02822145945788263,0.0,0.0
0.5,0.45,0.1,0.02884447667951552,0.0,0.0
0.5,0.5,0.1,0.029051420534171733,0.0,0.0
0.5,0.55,0.1,0.02884447667951551,0.0,0.0
0.5,0.6000000000000001,0.1,0.028221459457882635,0.0,0.0
0.5,0.65,0.1,0.027166540121637054,0.0,0.0
0.5,0.7000000000000001,0.1,0.02563791923490079,0.0,0.0
0.5,0.75,0.1,0.023571002768932765,0.0,0.0
0.5,0.8,0.1,0.02088346282022989,0.0,0.0
0.5,0.8500000000000001,0.1,0.017455454132152593,0.0,0.0
0.5,0.9,0.1,0.013085554875958041,0.0,0.0
0.5,0.9500000000000001,0.1,0.007439707700183645,0.0,0.0
0.5,1.0,0.1,6.6145607087572515e-18,0.0,0.0
0.5,0.0,0.15000000000000002,0.0,0.0,0.0
0.5,0.05,0.15000000000000002,0.009726980400804554,0.0,0.0
0.5,0.1,0.15000000000000002,0.017455454132152597,0.0,0.0
0.5,0.15000000000000002,0.15000000000000002,0.023602861141881554,0.0,0.0
0.5,0.2,0.15000000000000002,0.028497548180682945,0.0,0.0
0.5,0.25,0.15000000000000002,0.032365984890017054,0.0,0.0
0.5,0.30000000000000004,0.15000000000000002,0.03535757981034728,0.0,0.0
0.5,0.35000000000000003,0.15000000000000002,0.03758005287312267,0.0,0.0
0.5,0.4,0.15000000000000002,0.03911717426679951,0.0,0.0
0.5,0.45,0.15000000000000002,0.040024094857953996,0.0,0.0
0.5,0.5,0.15000000000000002,0.04032474960032121,0.0,0.0
0.5,0.55,0.15000000000000002,0.04002409485795399,0.0,0.0
0.5,0.6000000000000001,0.15000000000000002,0.03911717426679951,0.0,0.0
0.5,0.65,0.15000000000000002,0.03758005287312267,0.0,0.0
0.5,0.7000000000000001,0.15000000000000002,0.03535757981034728,0.0,0.0
0.5,0.75,0.15000000000000002,0.03236598489001706,0.0,0.0
0.5,0.8,0.15000000000000002,0.028497548180682952,0.0,0.0
0.5,0.8500000000000001,0.15000000000000002,0.023602861141881537,0.0,0.0
0.5,0.9,0.15000000000000002,0.0174554541321526,0.0,0.0
0.5,0.9500000000000001,0.15000000000000002,0.009726980400804556,0.0,0.0
0.5,1.0,0.15000000000000002,8.427463310527002e-18,0.0,0.0
0.5,0.0,0.2,0.0,0.0,0.0
0.5,0.05,0.2,0.011497680928635264,0.0,0.0
0.5,0.1,0.2,0.02088346282022989,0.0,0.0
0.5,0.15000000000000002,0.2,0.02849754818068295,0.0,0.0
0.5,0.2,0.2,0.03463917501186649,0.0,0.0
0.5,0.25,0.2,0.039533421423478834,0.0,0.0
0.5,0.30000000000000004,0.2,0.04334010471626798,0.0,0.0
0.5,0.35000000000000003,0.2,0.046180141484622746,0.0,0.0
0.5,0.4,0.2,0.048149180775799806,0.0,0.0
0.5,0.45,0.2,0.04931143773948962,0.0,0.0
0.5,0.5,0.2,0.049696550702729006,0.0,0.0
0.5,0.55,0.2,0.049311437739489615,0.0,0.0
0.5,0.6000000000000001,0.2,0.048149180775799806,0.0,0.0
0.5,0.65,0.2,0.046180141484622746,0.0,0.0
0.5,0.7000000000000001,0.2,0.04334010471626799,0.0,0.0
0.5,0.75,0.2,0.03953342142347884,0.0,0.0
0.5,0.8,0.2,0.034639175011866495,0.0,0.0
0.5,0.8500000000000001,0.2,0.028497548180682942,0.0,0.0
0.5,0.9,0.2,0.020883462820229893,0.0,0.0
0.5,0.9500000000000001,0.2,0.011497680928635267,0.0,0.0
0.5,1.0,0.2,9.821925251345742e-18,0.0,0.0
0.5,0.0,0.25,0.0,0.0,0.0
0.5,0.05,0.25,0.012879203394743336,0.0,0.0
0.5,0.1,0.25,0.023571002768932762,0.0,0.0
0.5,0.15000000000000002,0.25,0.032365984890017054,0.0,0.0
0.5,0.2,0.25,0.039533421423478834,0.0,0.0
0.5,0.25,0.25,0.04528680844019103,0.0,0.0
0.5,0.30000000000000004,0.25,0.049785289747013066,0.0,0.0
0.5,0.35000000000000003,0.25,0.053154341779357024,0.0,0.0
0.5,0.4,0.25,0.05549575981300003,0.0,0.0
0.5,0.45,0.25,0.05687915939293279,0.0,0.0
0.5,0.5,0.25,0.057337607141123306,0.0,0.0
0.5,0.55,0.25,0.05687915939293278,0.0,0.0
0.5,0.6000000000000001,0.25,0.055495759813000034,0.0,0.0
0.5,0.65,0.25,0.053154341779357024,0.0,0.0
0.5,0.7000000000000001,0.25,0.04978528974701307,0.0,0.0
0.5,0.75,0.25,0.045286808440191034,0.0,0.0
0.5,0.8,0.25,0.03953342142347884,0.0,0.0
0.5,0.8500000000000001,0.25,0.032365984890017026,0.0,0.0
0.5,0.9,0.25,0.02357100276893277,0.0,0.0
0.5,0.9500000000000001,0.25,0.012879203394743344,0.0,0.0
0.5,1.0,0.25,1.0914176319147861e-17,0.0,0.0
0.5,0.0,0.30000000000000004,0.0,0.0,0.0
0.5,0.05,0.30000000000000004,0.013937100521242937,0.0,0.0
0.5,0.1,0.30000000000000004,0.02563791923490078,0.0,0.0
0.5,0.15000000000000002,0.30000000000000004,0.03535757981034727,0.0,0.0
0.5,0.2,0.30000000000000004,0.04334010471626797,0.0,0.0
0.5,0.25,0.30000000000000004,0.04978528974701306,0.0,0.0
0.5,0.30000000000000004,0.30000000000000004,0.05484692548464742,0.0,0.0
0.5,0.35000000000000003,0.30000000000000004,0.05865020957978202,0.0,0.0
0.5,0.4,0.30000000000000004,0.06129907621607921,0.0,0.0
0.5,0.45,0.30000000000000004,0.0628657194479977,0.0,0.0
0.5,0.5,0.30000000000000004,0.06338503692664184,0.0,0.0
0.5,0.55,0.30000000000000004,0.06286571944799768,0.0,0.0
0.5,0.6000000000000001,0.30000000000000004,0.06129907621607921,0.0,0.0
0.5,0.65,0.30000000000000004,0.05865020957978203,0.0,0.0
0.5,0.7000000000000001,0.30000000000000004,0.05484692548464741,0.0,0.0
0.5,0.75,0.30000000000000004,0.04978528974701307,0.0,0.0
0.5,0.8,0.30000000000000004,0.04334010471626799,0.0,0.0
0.5,0.8500000000000001,0.30000000000000004,0.03535757981034725,0.0,0.0
0.5,0.9,0.30000000000000004,0.02563791923490079,0.0,0.0
0.5,0.9500000000000001,0.30000000000000004,0.013937100521242942,0.0,0.0
0.5,1.0,0.30000000000000004,1.1748444630369007e-17,0.0,0.0
0.5,0.0,0.35000000000000003,0.0,0.0,0.0
0.5,0.05,0.35000000000000003,0.014715189648650366,0.0,0.0
0.5,0.1,0.35000000000000003,0.027166540121637054,0.0,0.0
0.5,0.15000000000000002,0.35000000000000003,0.03758005287312266,0.0,0.0
0.5,0.2,0.35000000000000003,0.04618014148462273,0.0,0.0
0.5,0.25,0.35000000000000003,0.053154341779357024,0.0,0.0
0.5,0.30000000000000004,0.35000000000000003,0.05865020957978202,0.0,0.0
0.5,0.35000000000000003,0.35000000000000003,0.06279063866330105,0.0,0.0
0.5,0.4,0.35000000000000003,0.06567936586089641,0.0,0.0
0.5,0.45,0.35000000000000003,0.06738932242850612,0.0,0.0
0.5,0.5,0.35000000000000003,0.06795628316953115,0.0,0.0
0.5,0.55,0.35000000000000003,0.06738932242850611,0.0,0.0
0.5,0.6000000000000001,0.35000000000000003,0.06567936586089641,0.0,0.0
0.5,0.65,0.35000000000000003,0.06279063866330105,0.0,0.0
0.5,0.7000000000000001,0.35000000000000003,0.05865020957978203,0.0,0.0
0.5,0.75,0.35000000000000003,0.05315434177935703,0.0,0.0
0.5,0.8,0.35000000000000003,0.046180141484622746,0.0,0.0
0.5,0.8500000000000001,0.35000000000000003,0.03758005287312264,0.0,0.0
0.5,0.9,0.35000000000000003,0.02716654012163706,0.0,0.0
0.5,0.9500000000000001,0.35000000000000003,0.014715189648650375,0.0,0.0
0.5,1.0,0.35000000000000003,1.2355477602650617e-17,0.0,0.0
0.5,0.0,0.4,0.0,0.0,0.0
0.5,0.05,0.4,0.015251245811310253,0.0,0.0
0.5,0.1,0.4,0.028221459457882632,0.0,0.0
0.5,0.15000000000000002,0.4,0.039117174266799504,0.0,0.0
0.5,0.2,0.4,0.048149180775799806,0.0,0.0
0.5,0.25,0.4,0.05549575981300003,0.0,0.0
0.5,0.30000000000000004,0.4,0.06129907621607921,0.0,0.0
0.5,0.35000000000000003,0.4,0.06567936586089643,0.0,0.0
0.5,0.4,0.4,0.06873935489610028,0.0,0.0
0.5,0.45,0.4,0.07055187598517747,0.0,0.0
0.5,0.5,0.4,0.07115297166879062,0.0,0.0
0.5,0.55,0.4,0.07055187598517745,0.0,0.0
0.5,0.6000000000000001,0.4,0.06873935489610028,0.0,0.0
0.5,0.65,0.4,0.06567936586089643,0.0,0.0
0.5,0.7000000000000001,0.4,0.06129907621607922,0.0,0.0
0.5,0.75,0.4,0.05549575981300004,0.0,0.0
0.5,0.8,0.4,0.04814918077579982,0.0,0.0
0.5,0.8500000000000001,0.4,0.03911717426679948,0.0,0.0
0.5,0.9,0.4,0.028221459457882642,0.0,0.0
0.5,0.9500000000000001,0.4,0.01525124581131026,0.0,0.0
0.5,1.0,0.4,1.2773106182195656e-17,0.0,0.0
0.5,0.0,0.45,0.0,0.0,0.0
0.5,0.05,0.45,0.01556948012773234,0.0,0.0
0.5,0.1,0.45,0.02884447667951552,0.0,0.0
0.5,0.15000000000000002,0.45,0.04002409485795399,0.0,0.0
0.5,0.2,0.45,0.049311437739489615,0.0,0.0
0.5,0.25,0.45,0.05687915939293278,0.0,0.0
0.5,0.30000000000000004,0.45,0.0628657194479976,0.0,0.0
0.5,0.35000000000000003,0.45,0.06738932242850612,0.0,0.0
0.5,0.4,0.45,0.07055187598517745,0.0,0.0
0.5,0.45,0.45,0.07242598777220274,0.0,0.0
0.5,0.5,0.45,0.07304762463099589,0.0,0.0
0.5,0.55,0.45,0.07242598777220273,0.0,0.0
0.5,0.6000000000000001,0.45,0.07055187598517745,0.0,0.0
0.5,0.65,0.45,0.06738932242850612,0.0,0.0
0.5,0.7000000000000001,0.45,0.06286571944799763,0.0,0.0
0.5,0.75,0.45,0.056879159392932796,0.0,0.0
0.5,0.8,0.45,0.04931143773948963,0.0,0.0
0.5,0.8500000000000001,0.45,0.04002409485795397,0.0,0.0
0.5,0.9,0.45,0.028844476679515528,0.0,0.0
0.5,0.9500000000000001,0.45,0.015569480127732344,0.0,0.0
0.5,1.0,0.45,1.3025720839831571e-17,0.0,0.0
0.5,0.0,0.5,0.0,0.0,0.0
0.5,0.05,0.5,0.01567587659940439,0.0,0.0
0.5,0.1,0.5,0.029051420534171712,0.0,0.0
0.5,0.15000000000000002,0.5,0.04032474960032121,0.0,0.0
0.5,0.2,0.5,0.049696550702729006,0.0,0.0
0.5,0.25,0.5,0.057337607141123306,0.0,0.0
0.5,0.30000000000000004,0.5,0.06338503692664185,0.0,0.0
0.5,0.35000000000000003,0.5,0.06795628316953115,0.0,0.0
0.5,0.4,0.5,0.07115297166879062,0.0,0.0
0.5,0.45,0.5,0.07304762463099589,0.0,0.0
0.5,0.5,0.5,0.07367612507328368,0.0,0.0
0.5,0.55,0.5,0.07304762463099586,0.0,0.0
0.5,0.6000000000000001,0.5,0.07115297166879063,0.0,0.0
0.5,0.65,0.5,0.06795628316953113,0.0,0.0
0.5,0.7000000000000001,0.5,0.06338503692664184,0.0,0.0
0.5,0.75,0.5,0.05733760714112332,0.0,0.0
0.5,0.8,0.5,0.04969655070272902,0.0,0.0
0.5,0.8500000000000001,0.5,0.040324749600321175,0.0,0.0
0.5,0.9,0.5,0.029051420534171726,0.0,0.0
0.5,0.9500000000000001,0.5,0.015675876599404396,0.0,0.0
0.5,1.0,0.5,1.3111978321284152e-17,0.0,0.0
0.5,0.0,0.55,0.0,0.0,0.0
0.5,0.05,0.55,0.015569480127732339,0.0,0.0
0.5,0.1,0.55,0.028844476679515514,0.0,0.0
0.5,0.15000000000000002,0.55,0.04002409485795398,0.0,0.0
0.5,0.2,0.55,0.04931143773948961,0.0,0.0
0.5,0.25,0.55,0.056879159392932775,0.0,0.0
0.5,0.30000000000000004,0.55,0.0628657194479976,0.0,0.0
0.5,0.35000000000000003,0.55,0.06738932242850611,0.0,0.0
0.5,0.4,0.55,0.07055187598517744,0.0,0.0
0.5,0.45,0.55,0.07242598777220274,0.0,0.0
0.5,0.5,0.55,0.07304762463099586,0.0,0.0
0.5,0.55,0.55,0.07242598777220273,0.0,0.0
0.5,0.6000000000000001,0.55,0.07055187598517744,0.0,0.0
0.5,0.65,0.55,0.06738932242850611,0.0,0.0
0.5,0.7000000000000001,0.55,0.06286571944799763,0.0,0.0
0.5,0.75,0.55,0.05687915939293279,0.0,0.0
0.5,0.8,0.55,0.04931143773948962,0.0,0.0
0.5,0.8500000000000001,0.55,0.04002409485795397,0.0,0.0
0.5,0.9,0.55,0.028844476679515525,0.0,0.0
0.5,0.9500000000000001,0.55,0.015569480127732342,0.0,0.0
0.5,1.0,0.55,1.3025720839831568e-17,0.0,0.0
0.5,0.0,0.6000000000000001,0.0,0.0,0.0
0.5,0.05,0.6000000000000001,0.015251245811310257,0.0,0.0
0.5,0.1,0.6000000000000001,0.02822145945788264,0.0,0.0
0.5,0.15000000000000002,0.6000000000000001,0.039117174266799504,0.0,0.0
0.5,0.2,0.6000000000000001,0.048149180775799806,0.0,0.0
0.5,0.25,0.6000000000000001,0.055495759813000034,0.0,0.0
0.5,0.30000000000000004,0.6000000000000001,0.06129907621607921,0.0,0.0
0.5,0.35000000000000003,0.6000000000000001,0.06567936586089643,0.0,0.0
0.5,0.4,0.6000000000000001,0.06873935489610028,0.0,0.0
0.5,0.45,0.6000000000000001,0.07055187598517747,0.0,0.0
0.5,0.5,0.6000000000000001,0.07115297166879063,0.0,0.0
0.5,0.55,0.6000000000000001,0.07055187598517745,0.0,0.0
0.5,0.6000000000000001,0.6000000000000001,0.06873935489610028,0.0,0.0
0.5,0.65,0.6000000000000001,0.06567936586089643,0.0,0.0
0.5,0.7000000000000001,0.6000000000000001,0.06129907621607922,0.0,0.0
0.5,0.75,0.6000000000000001,0.05549575981300004,0.0,0.0
0.5,0.8,0.6000000000000001,0.04814918077579982,0.0,0.0
0.5,0.8500000000000001,0.6000000000000001,0.03911717426679948,0.0,0.0
0.5,0.9,0.6000000000000001,0.02822145945788265,0.0,0.0
0.5,0.9500000000000001,0.6000000000000001,0.015251245811310264,0.0,0.0
0.5,1.0,0.6000000000000001,1.2773106182195657e-17,0.0,0.0
0.5,0.0,0.65,0.0,0.0,0.0
0.5,0.05,0.65,0.014715189648650371,0.0,0.0
0.5,0.1,0.65,0.027166540121637058,0.0,0.0
0.5,0.15000000000000002,0.65,0.03758005287312267,0.0,0.0
0.5,0.2,0.65,0.046180141484622746,0.0,0.0
0.5,0.25,0.65,0.05315434177935703,0.0,0.0
0.5,0.30000000000000004,0.65,0.05865020957978204,0.0,0.0
0.5,0.35000000000000003,0.65,0.06279063866330106,0.0,0.0
0.5,0.4,0.65,0.06567936586089643,0.0,0.0
0.5,0.45,0.65,0.06738932242850612,0.0,0.0
0.5,0.5,0.65,0.06795628316953113,0.0,0.0
0.5,0.55,0.65,0.06738932242850612,0.0,0.0
0.5,0.6000000000000001,0.65,0.06567936586089643,0.0,0.0
0.5,0.65,0.65,0.06279063866330105,0.0,0.0
0.5,0.7000000000000001,0.65,0.05865020957978204,0.0,0.0
0.5,0.75,0.65,0.05315434177935704,0.0,0.0
0.5,0.8,0.65,0.04618014148462276,0.0,0.0
0.5,0.8500000000000001,0.65,0.037580052873122646,0.0,0.0
0.5,0.9,0.65,0.027166540121637064,0.0,0.0
0.5,0.9500000000000001,0.65,0.014715189648650377,0.0,0.0
0.5,1.0,0.65,1.2355477602650617e-17,0.0,0.0
0.5,0.0,0.7000000000000001,0.0,0.0,0.0
0.5,0.05,0.7000000000000001,0.013937100521242939,0.0,0.0
0.5,0.1,0.7000000000000001,0.02563791923490079,0.0,0.0
0.5,0.15000000000000002,0.7000000000000001,0.03535757981034727,0.0,0.0
0.5,0.2,0.7000000000000001,0.04334010471626798,0.0,0.0
0.5,0.25,0.7000000000000001,0.049785289747013066,0.0,0.0
0.5,0.30000000000000004,0.7000000000000001,0.05484692548464741,0.0,0.0
0.5,0.35000000000000003,0.7000000000000001,0.05865020957978203,0.0,0.0
0.5,0.4,0.7000000000000001,0.06129907621607921,0.0,0.0
0.5,0.45,0.7000000000000001,0.0628657194479977,0.0,0.0
0.5,0.5,0.7000000000000001,0.06338503692664182,0.0,0.0
0.5,0.55,0.7000000000000001,0.06286571944799768,0.0,0.0
0.5,0.6000000000000001,0.7000000000000001,0.06129907621607921,0.0,0.0
0.5,0.65,0.7000000000000001,0.05865020957978203,0.0,0.0
0.5,0.7000000000000001,0.7000000000000001,0.05484692548464739,0.0,0.0
0.5,0.75,0.7000000000000001,0.04978528974701308,0.0,0.0
0.5,0.8,0.7000000000000001,0.043340104716267994,0.0,0.0
0.5,0.8500000000000001,0.7000000000000001,0.035357579810347255,0.0,0.0
0.5,0.9,0.7000000000000001,0.025637919234900795,0.0,0.0
0.5,0.9500000000000001,0.7000000000000001,0.013937100521242942,0.0,0.0
0.5,1.0,0.7000000000000001,1.1748444630369009e-17,0.0,0.0
0.5,0.0,0.75,0.0,0.0,0.0
0.5,0.05,0.75,0.012879203394743336,0.0,0.0
0.5,0.1,0.75,0.023571002768932765,0.0,0.0
0.5,0.15000000000000002,0.75,0.03236598489001706,0.0,0.0
0.5,0.2,0.75,0.03953342142347884,0.0,0.0
0.5,0.25,0.75,0.045286808440191034,0.0,0.0
0.5,0.30000000000000004,0.75,0.04978528974701307,0.0,0.0
0.5,0.35000000000000003,0.75,0.05315434177935704,0.0,0.0
0.5,0.4,0.75,0.055495759813000034,0.0,0.0
0.5,0.45,0.75,0.0568791593929328,0.0,0.0
0.5,0.5,0.75,0.05733760714112332,0.0,0.0
0.5,0.55,0.75,0.05687915939293279,0.0,0.0
0.5,0.6000000000000001,0.75,0.055495759813000034,0.0,0.0
0.5,0.65,0.75,0.05315434177935704,0.0,0.0
0.5,0.7000000000000001,0.75,0.04978528974701308,0.0,0.0
0.5,0.75,0.75,0.04528680844019105,0.0,0.0
0.5,0.8,0.75,0.03953342142347885,0.0,0.0
0.5,0.8500000000000001,0.75,0.03236598489001703,0.0,0.0
0.5,0.9,0.75,0.023571002768932772,0.0,0.0
0.5,0.9500000000000001,0.75,0.012879203394743344,0.0,0.0
0.5,1.0,0.75,1.0914176319147864e-17,0.0,0.0
0.5,0.0,0.8,0.0,0.0,0.0
0.5,0.05,0.8,0.011497680928635266,0.0,0.0
0.5,0.1,0.8,0.02088346282022989,0.0,0.0
0.5,0.15000000000000002,0.8,0.028497548180682956,0.0,0.0
0.5,0.2,0.8,0.034639175011866495,0.0,0.0
0.5,0.25,0.8,0.03953342142347884,0.0,0.0
0.5,0.30000000000000004,0.8,0.04334010471626799,0.0,0.0
0.5,0.35000000000000003,0.8,0.046180141484622746,0.0,0.0
0.5,0.4,0.8,0.04814918077579981,0.0,0.0
0.5,0.45,0.8,0.04931143773948963,0.0,0.0
0.5,0.5,0.8,0.04969655070272902,0.0,0.0
0.5,0.55,0.8,0.04931143773948962,0.0,0.0
0.5,0.6000000000000001,0.8,0.04814918077579981,0.0,0.0
0.5,0.65,0.8,0.046180141484622746,0.0,0.0
0.5,0.7000000000000001,0.8,0.043340104716267994,0.0,0.0
0.5,0.75,0.8,0.03953342142347885,0.0,0.0
0.5,0.8,0.8,0.0346391750118665,0.0,0.0
0.5,0.8500000000000001,0.8,0.02849754818068294,0.0,0.0
0.5,0.9,0.8,0.0208834628202299,0.0,0.0
0.5,0.9500000000000001,0.8,0.011497680928635269,0.0,0.0
0.5,1.0,0.8,9.821925251345743e-18,0.0,0.0
0.5,0.0,0.8500000000000001,0.0,0.0,0.0
0.5,0.05,0.8500000000000001,0.009726980400804549,0.0,0.0
0.5,0.1,0.8500000000000001,0.017455454132152586,0.0,0.0
0.5,0.15000000000000002,0.8500000000000001,0.023602861141881534,0.0,0.0
0.5,0.2,0.8500000000000001,0.028497548180682942,0.0,0.0
0.5,0.25,0.8500000000000001,0.032365984890017026,0.0,0.0
0.5,0.30000000000000004,0.8500000000000001,0.03535757981034727,0.0,0.0
0.5,0.35000000000000003,0.8500000000000001,0.03758005287312264,0.0,0.0
0.5,0.4,0.8500000000000001,0.03911717426679948,0.0,0.0
0.5,0.45,0.8500000000000001,0.040024094857953975,0.0,0.0
0.5,0.5,0.8500000000000001,0.040324749600321175,0.0,0.0
0.5,0.55,0.8500000000000001,0.04002409485795397,0.0,0.0
0.5,0.6000000000000001,0.8500000000000001,0.03911717426679948,0.0,0.0
0.5,0.65,0.8500000000000001,0.037580052873122646,0.0,0.0
0.5,0.7000000000000001,0.8500000000000001,0.03535757981034727,0.0,0.0
0.5,0.75,0.8500000000000001,0.03236598489001703,0.0,0.0
0.5,0.8,0.8500000000000001,0.02849754818068294,0.0,0.0
0.5,0.8500000000000001,0.8500000000000001,0.02360286114188152,0.0,0.0
0.5,0.9,0.8500000000000001,0.01745545413215259,0.0,0.0
0.5,0.9500000000000001,0.8500000000000001,0.00972698040080455,0.0,0.0
0.5,1.0,0.8500000000000001,8.427463310527002e-18,0.0,0.0
0.5,0.0,0.9,0.0,0.0,0.0
0.5,0.05,0.9,0.007439707700183644,0.0,0.0
0.5,0.1,0.9,0.013085554875958043,0.0,0.0
0.5,0.15000000000000002,0.9,0.01745545413215261,0.0,0.0
0.5,0.2,0.9,0.020883462820229893,0.0,0.0
0.5,0.25,0.9,0.02357100276893277,0.0,0.0
0.5,0.30000000000000004,0.9,0.025637919234900792,0.0,0.0
0.5,0.35000000000000003,0.9,0.02716654012163706,0.0,0.0
0.5,0.4,0.9,0.028221459457882642,0.0,0.0
0.5,0.45,0.9,0.028844476679515528,0.0,0.0
0.5,0.5,0.9,0.029051420534171746,0.0,0.0
0.5,0.55,0.9,0.028844476679515525,0.0,0.0
0.5,0.6000000000000001,0.9,0.02822145945788265,0.0,0.0
0.5,0.65,0.9,0.027166540121637064,0.0,0.0
0.5,0.7000000000000001,0.9,0.0256379192349008,0.0,0.0
0.5,0.75,0.9,0.023571002768932772,0.0,0.0
0.5,0.8,0.9,0.020883462820229896,0.0,0.0
0.5,0.8500000000000001,0.9,0.017455454132152597,0.0,0.0
0.5,0.9,0.9,0.013085554875958047,0.0,0.0
0.5,0.9500000000000001,0.9,0.007439707700183649,0.0,0.0
0.5,1.0,0.9,6.6145607087572546e-18,0.0,0.0
0.5,0.0,0.9500000000000001,0.0,0.0,0.0
0.5,0.05,0.9500000000000001,0.004382783242187102,0.0,0.0
0.5,0.1,0.9500000000000001,0.007439707700183646,0.0,0.0
0.5,0.15000000000000002,0.9500000000000001,0.009726980400804554,0.0,0.0
