x,y,u,v,p
0.0,0.0,-0.0,0.0,-0.49403585643096526
0.2026833970057931,0.0,-0.0,0.20009434510560006,-0.47401698295934575
0.4053667940115862,0.0,-0.0,0.3919968042124896,-0.4172051091745628
0.6080501910173793,0.0,-0.0,0.567850868097251,-0.33280855223156447
0.8107335880231724,0.0,-0.0,0.7204570507224668,-0.23450667546310766
1.0134169850289656,0.0,-0.0,0.8435676370409959,-0.1382326772995005
1.2161003820347587,0.0,-0.0,0.9321424651840777,-0.059591068731240454
1.4187837790405518,0.0,-0.0,0.9825552712804343,-0.011328425870481395
1.6214671760463448,0.0,0.0,0.9927421491252273,-0.0012673691060776985
1.824150573052138,0.0,0.0,0.9622860467425839,-0.031038638553230077
2.026833970057931,0.0,0.0,0.8924338405424893,-0.09581677655825663
2.2295173670637243,0.0,0.0,0.7860452880540614,-0.18510225899496907
2.4322007640695174,0.0,0.0,0.6474759491163005,-0.28442330408893823
2.6348841610753104,0.0,0.0,0.4823988687465244,-0.377681522147002
2.8375675580811035,0.0,0.0,0.29757232201080525,-0.44976121301751415
3.0402509550868966,0.0,0.0,0.10056312944870041,-0.48897938492870724
3.2429343520926897,0.0,0.0,-0.10056312944870018,-0.48897938492870724
3.4456177490984827,0.0,0.0,-0.29757232201080497,-0.44976121301751415
3.648301146104276,0.0,0.0,-0.48239886874652416,-0.3776815221470021
3.850984543110069,0.0,0.0,-0.6474759491163002,-0.28442330408893834
4.053667940115862,0.0,0.0,-0.7860452880540615,-0.185102258994969
4.2563513371216555,0.0,0.0,-0.8924338405424894,-0.09581677655825654
4.4590347341274486,0.0,0.0,-0.9622860467425839,-0.031038638553230077
4.661718131133242,0.0,0.0,-0.9927421491252273,-0.0012673691060776985
4.864401528139035,0.0,-0.0,-0.9825552712804343,-0.011328425870481395
5.067084925144828,0.0,-0.0,-0.9321424651840777,-0.059591068731240426
5.269768322150621,0.0,-0.0,-0.843567637040996,-0.1382326772995005
5.472451719156414,0.0,-0.0,-0.7204570507224669,-0.23450667546310758
5.675135116162207,0.0,-0.0,-0.5678508680972512,-0.33280855223156447
5.877818513168,0.0,-0.0,-0.3919968042124898,-0.41720510917456277
6.080501910173793,0.0,-0.0,-0.20009434510560029,-0.4740169829593457
6.283185307179586,0.0,-0.0,-2.434561429188065e-16,-0.49403585643096526
0.0,0.2026833970057931,-0.20009434510560006,0.0,-0.47401698295934575
0.2026833970057931,0.2026833970057931,-0.1959984021062448,0.1959984021062448,-0.4539981094877263
0.4053667940115862,0.2026833970057931,-0.18387826149582542,0.3839726066014255,-0.3971862357029433
0.6080501910173793,0.2026833970057931,-0.16423012325498862,0.5562269274674783,-0.312789678759945
0.8107335880231724,0.2026833970057931,-0.13785838447187246,0.7057092525691234,-0.21448780199148815
1.0134169850289656,0.2026833970057931,-0.10584270723080541,0.8262997579532723,-0.11821380382788102
1.2161003820347587,0.2026833970057931,-0.06949381711971915,0.913061454160715,-0.03957219525962096
1.4187837790405518,0.2026833970057931,-0.030299841970574795,0.9624423071546525,0.008690447601138102
1.6214671760463448,0.2026833970057931,0.010134612268925172,0.9724206590115091,0.0187515043655418
1.824150573052138,0.2026833970057931,0.050154154291368956,0.9425879948338584,-0.01101976508161058
2.026833970057931,0.2026833970057931,0.08812037934426124,0.8741656673983226,-0.07579790308663713
