x,z,p_pinf
0.0,0.5,1.706
0.05,0.5,1.706
0.1,0.5,1.706
0.15000000000000002,0.5,1.706
0.2,0.5,1.706
0.25,0.5,1.706
0.30000000000000004,0.5,1.706
0.35000000000000003,0.5,1.706
0.4,0.5,1.706
0.45,0.5,1.706
0.5,0.5,1.706
0.55,0.5,1.706
0.6000000000000001,0.5,1.706
0.65,0.5,1.706
0.7000000000000001,0.5,1.706
0.75,0.5,1.706
0.8,0.5,1.706
0.8500000000000001,0.5,1.706
0.9,0.5,1.706
0.9500000000000001,0.5,1.706
1.0,0.5,1.706
