x,y,u,v,p
0.76,0.02,0.6831963085850508,0.04577231883636089,0.042983068423550284
0.78,0.02,0.636166179110581,0.04838092681810777,0.040024183476767956
0.8,0.02,0.5866253923638433,0.05079859738484654,0.03690734136311293
0.8200000000000001,0.02,0.5347694631970943,0.05301578909537893,0.03364484283445808
0.84,0.02,0.48080304327203494,0.05502375170696197,0.030249563482002244
0.86,0.02,0.42493911339319684,0.05681456070851865,0.026734902922193923
0.88,0.02,0.3673981429700102,0.058381148595062604,0.023114731914567033
0.9,0.02,0.30840721992476644,0.05971733275991158,0.01940333762018986
0.92,0.02,0.24819915448033605,0.06081783989461139,0.015615367216767557
0.9400000000000001,0.02,0.18701156036457947,0.061678326800275275,0.011765770092923351
0.96,0.02,0.12508591705751929,0.06229539752820562,0.007869738849791459
0.98,0.02,0.06266661678215232,0.06266661678215212,0.003942649342761098
1.0,0.02,1.2221898729178216e-16,0.06279051952931337,7.689366917540523e-18
0.0,0.04,0.0,-0.12533323356430426,0.0
0.02,0.04,0.06229539752820563,-0.125085917057519,0.007869738849791441
0.04,0.04,0.12434494358242741,-0.12434494358242741,0.015708419435684445
0.06,0.04,0.18590375695213038,-0.12311323742281705,0.023485106066558993
0.08,0.04,0.24672889312449112,-0.12139565956018686,0.03116910771311322
0.1,0.04,0.30658030307539863,-0.11919898848967402,0.03873009913133458
0.12,0.04,0.36522178063328503,-0.11653189346843026,0.04613824054238377
0.14,0.04,0.4224218946769721,-0.1134049003020246,0.05336429539656926
0.16,0.04,0.47795490248857564,-0.1098303498038976,0.060379745756652003
0.18,0.04,0.5316016406568812,-0.10582234909180854,0.06715690484511516
0.2,0.04,0.583150390015202,-0.10139671591348672,0.07366902631122604
0.22,0.04,0.632397711200204,-0.09657091622120746,0.0798904097866632
0.24,0.04,0.6791492475341312,-0.09136399524165806,0.08579650231312885
0.26,0.04,0.7232204920618186,-0.08579650231312885,0.09136399524165806
0.28,0.04,0.7644375157153519,-0.0798904097866632,0.09657091622120746
0.3,0.04,0.8026376537326376,-0.07366902631122604,0.10139671591348672
0.32,0.04,0.8376701476209044,-0.06715690484511515,0.10582234909180854
0.34,0.04,0.8693967401315995,-0.06037974575665198,0.10983034980389761
0.36,0.04,0.8976922208985845,-0.053364295396569256,0.11340490030202462
0.38,0.04,0.9224449205862474,-0.04613824054238379,0.11653189346843025
0.4,0.04,0.9435571515973541,-0.038730099131334586,0.11919898848967402
0.42,0.04,0.9609455936013647,-0.03116910771311324,0.12139565956018686
0.44,0.04,0.9745416223617125,-0.02348510606655901,0.12311323742281703
0.46,0.04,0.9842915805643156,-0.015708419435684445,0.12434494358242741
0.48,0.04,0.9901569895784802,-0.00786973884979146,0.125085917057519
