x,y,z,u,v,w,p
5.0,0.0,-0.5,0.0,0,0,0
5.0,-0.14999999999999997,-0.475,0.0004687500000000108,0,0,0
5.0,-0.125,-0.475,0.002187500000000002,0,0,0
5.0,-0.09999999999999998,-0.475,0.0035937500000000067,0,0,0
5.0,-0.07499999999999996,-0.475,0.004687500000000011,0,0,0
5.0,-0.04999999999999999,-0.475,0.0054687499999999944,0,0,0
5.0,-0.024999999999999967,-0.475,0.005937500000000012,0,0,0
5.0,0.0,-0.475,0.006093750000000002,0,0,0
5.0,0.025000000000000022,-0.475,0.005937499999999998,0,0,0
5.0,0.050000000000000044,-0.475,0.0054687499999999944,0,0,0
5.0,0.07500000000000007,-0.475,0.004687499999999997,0,0,0
5.0,0.10000000000000009,-0.475,0.0035937500000000067,0,0,0
5.0,0.125,-0.475,0.002187500000000002,0,0,0
5.0,0.15000000000000002,-0.475,0.0004687500000000108,0,0,0
5.0,-0.19999999999999996,-0.45,0.0018750000000000017,0,0,0
5.0,-0.175,-0.45,0.00421875,0,0,0
5.0,-0.14999999999999997,-0.45,0.0062500000000000056,0,0,0
5.0,-0.125,-0.45,0.00796874999999999,0,0,0
5.0,-0.09999999999999998,-0.45,0.009374999999999994,0,0,0
5.0,-0.07499999999999996,-0.45,0.010468750000000006,0,0,0
5.0,-0.04999999999999999,-0.45,0.01124999999999999,0,0,0
5.0,-0.024999999999999967,-0.45,0.011718750000000007,0,0,0
5.0,0.0,-0.45,0.011874999999999997,0,0,0
5.0,0.025000000000000022,-0.45,0.011718749999999993,0,0,0
5.0,0.050000000000000044,-0.45,0.01124999999999999,0,0,0
5.0,0.07500000000000007,-0.45,0.010468749999999992,0,0,0
5.0,0.10000000000000009,-0.45,0.009374999999999994,0,0,0
5.0,0.125,-0.45,0.00796874999999999,0,0,0
5.0,0.15000000000000002,-0.45,0.006249999999999992,0,0,0
5.0,0.17500000000000004,-0.45,0.004218749999999986,0,0,0
5.0,0.20000000000000007,-0.45,0.0018749999999999878,0,0,0
5.0,-0.25,-0.425,0.001718749999999998,0,0,0
5.0,-0.22499999999999998,-0.425,0.004687500000000011,0,0,0
5.0,-0.19999999999999996,-0.425,0.007343750000000003,0,0,0
5.0,-0.175,-0.425,0.009687500000000002,0,0,0
5.0,-0.14999999999999997,-0.425,0.011718750000000007,0,0,0
5.0,-0.125,-0.425,0.013437500000000005,0,0,0
5.0,-0.09999999999999998,-0.425,0.014843750000000003,0,0,0
5.0,-0.07499999999999996,-0.425,0.0159375,0,0,0
5.0,-0.04999999999999999,-0.425,0.016718750000000004,0,0,0
5.0,-0.024999999999999967,-0.425,0.01718750000000001,0,0,0
5.0,0.0,-0.425,0.017343750000000005,0,0,0
5.0,0.025000000000000022,-0.425,0.01718750000000001,0,0,0
