y,u,v
0.0,0.0,0.0
0.01,0.003950000000000009,0.0
0.02,0.007800000000000001,0.0
0.03,0.011550000000000005,0.0
0.04,0.015199999999999997,0.0
0.05,0.018749999999999996,0.0
0.06,0.022200000000000004,0.0
0.07,0.02555000000000001,0.0
0.08,0.028800000000000013,0.0
0.09,0.03194999999999999,0.0
0.1,0.03499999999999999,0.0
0.11,0.03795,0.0
0.12,0.0408,0.0
0.13,0.043550000000000005,0.0
0.14,0.046200000000000005,0.0
0.15,0.04875,0.0
0.16,0.05120000000000001,0.0
0.17,0.053550000000000014,0.0
0.18,0.0558,0.0
0.19,0.05794999999999999,0.0
0.2,0.06,0.0
0.21,0.06195,0.0
0.22,0.0638,0.0
0.23,0.06555,0.0
0.24,0.06720000000000001,0.0
0.25,0.06875,0.0
0.26,0.07020000000000001,0.0
0.27,0.07155,0.0
0.28,0.0728,0.0
0.29,0.07395,0.0
0.3,0.075,0.0
0.31,0.07595,0.0
0.32,0.07680000000000001,0.0
0.33,0.07755000000000001,0.0
0.34,0.0782,0.0
0.35000000000000003,0.07875,0.0
0.36,0.07919999999999999,0.0
0.37,0.07955000000000001,0.0
0.38,0.0798,0.0
0.39,0.07995,0.0
0.4,0.07999999999999999,0.0
0.41000000000000003,0.07999999999999999,0.0
0.42,0.07999999999999999,0.0
0.43,0.07999999999999999,0.0
0.44,0.07999999999999999,0.0
0.45,0.07999999999999999,0.0
0.46,0.07999999999999999,0.0
0.47000000000000003,0.07999999999999999,0.0
0.48,0.07999999999999999,0.0
0.49,0.07999999999999999,0.0
0.5,0.07999999999999999,0.0
0.51,0.07999999999999999,0.0
0.52,0.07999999999999999,0.0
0.53,0.07999999999999999,0.0
0.54,0.07999999999999999,0.0
0.55,0.07999999999999999,0.0
0.56,0.07999999999999999,0.0
0.5700000000000001,0.07999999999999999,0.0
0.58,0.07999999999999999,0.0
0.59,0.07999999999999999,0.0
0.6,0.07999999999999999,0.0
0.61,0.07995,0.0
0.62,0.0798,0.0
0.63,0.07955000000000001,0.0
0.64,0.07919999999999999,0.0
0.65,0.07874999999999999,0.0
0.66,0.07819999999999999,0.0
0.67,0.07755000000000001,0.0
0.68,0.07680000000000001,0.0
0.6900000000000001,0.07594999999999999,0.0
0.7000000000000001,0.07499999999999998,0.0
0.71,0.07395000000000002,0.0
0.72,0.0728,0.0
0.73,0.07155,0.0
0.74,0.07020000000000001,0.0
0.75,0.06875,0.0
0.76,0.06720000000000001,0.0
0.77,0.06555,0.0
0.78,0.0638,0.0
0.79,0.06195,0.0
0.8,0.05999999999999999,0.0
0.81,0.057949999999999995,0.0
0.8200000000000001,0.05579999999999998,0.0
0.8300000000000001,0.05354999999999998,0.0
0.84,0.05120000000000001,0.0
0.85,0.04875,0.0
0.86,0.046200000000000005,0.0
0.87,0.043550000000000005,0.0
0.88,0.0408,0.0
0.89,0.03795,0.0
0.9,0.03499999999999999,0.0
0.91,0.03194999999999999,0.0
0.92,0.02879999999999999,0.0
0.93,0.025549999999999986,0.0
0.9400000000000001,0.02219999999999998,0.0
0.9500000000000001,0.01874999999999997,0.0
0.96,0.015200000000000019,0.0
0.97,0.011550000000000005,0.0
0.98,0.007800000000000001,0.0
0.99,0.003950000000000009,0.0
1.0,0.0,0.0
