Bn,tau_y,y_p,u_max,Q
0.0,0.0,0.0,0.125000,0.083333
0.2,0.1,0.1,0.080000,0.058667
0.5,0.25,0.25,0.031250,0.026042
0.8,0.4,0.4,0.005000,0.004667
0.98,0.49,0.49,0.000050,0.000050
