x,p_pinf
0.0,1.706
0.05,1.706
0.1,1.706
0.15000000000000002,1.706
0.2,1.706
0.25,1.706
0.30000000000000004,1.706
0.35000000000000003,1.706
0.4,1.706
0.45,1.706
0.5,1.706
0.55,1.706
0.6000000000000001,1.706
0.65,1.706
0.7000000000000001,1.706
0.75,1.706
0.8,1.706
0.8500000000000001,1.706
0.9,1.706
0.9500000000000001,1.706
1.0,1.706
