x,y,u,v,p
0.0,0.0,-0.0,0.0,-0.5
0.06283185307179587,0.0,-0.0,0.06279051952931337,-0.4980286753286195
0.12566370614359174,0.0,-0.0,0.12533323356430426,-0.49214579028215777
0.1884955592153876,0.0,-0.0,0.18738131458572463,-0.48244412147206284
0.25132741228718347,0.0,-0.0,0.2486898871648548,-0.46907667001096587
0.3141592653589793,0.0,-0.0,0.3090169943749474,-0.45225424859373686
0.3769911184307752,0.0,-0.0,0.368124552684678,-0.4322421568553529
0.4398229715025711,0.0,-0.0,0.4257792915650727,-0.40935599743717244
0.5026548245743669,0.0,-0.0,0.4817536741017153,-0.38395669874474914
0.5654866776461628,0.0,-0.0,0.5358267949789967,-0.35644482289126816
0.6283185307179586,0.0,-0.0,0.5877852522924731,-0.32725424859373686
0.6911503837897546,0.0,-0.0,0.6374239897486897,-0.29684532864643115
0.7539822368615504,0.0,-0.0,0.6845471059286887,-0.2656976298823283
0.8168140899333463,0.0,-0.0,0.7289686274214116,-0.23430237011767166
0.8796459430051422,0.0,-0.0,0.7705132427757893,-0.2031546713535688
0.942477796076938,0.0,-0.0,0.8090169943749475,-0.1727457514062631
1.0053096491487339,0.0,-0.0,0.8443279255020151,-0.14355517710873184
1.0681415022205298,0.0,-0.0,0.8763066800438637,-0.11604330125525078
1.1309733552923256,0.0,-0.0,0.9048270524660196,-0.09064400256282756
1.1938052083641215,0.0,-0.0,0.9297764858882515,-0.06775784314464708
1.2566370614359172,0.0,-0.0,0.9510565162951535,-0.047745751406263165
1.3194689145077132,0.0,-0.0,0.9685831611286311,-0.030923329989034104
1.3823007675795091,0.0,-0.0,0.9822872507286887,-0.017555878527937135
1.4451326206513049,0.0,-0.0,0.9921147013144779,-0.007854209717842231
1.5079644737231008,0.0,-0.0,0.9980267284282716,-0.001971324671380531
1.5707963267948968,0.0,0.0,1.0,-0.0
1.6336281798666925,0.0,0.0,0.9980267284282716,-0.001971324671380531
1.6964600329384885,0.0,0.0,0.9921147013144778,-0.007854209717842231
1.7592918860102844,0.0,0.0,0.9822872507286886,-0.01755587852793719
1.8221237390820801,0.0,0.0,0.9685831611286311,-0.030923329989034132
1.884955592153876,0.0,0.0,0.9510565162951535,-0.04774575140626319
1.9477874452256718,0.0,0.0,0.9297764858882513,-0.06775784314464711
2.0106192982974678,0.0,0.0,0.9048270524660195,-0.09064400256282762
2.0734511513692637,0.0,0.0,0.8763066800438635,-0.11604330125525092
2.1362830044410597,0.0,0.0,0.844327925502015,-0.14355517710873195
2.199114857512855,0.0,0.0,0.8090169943749475,-0.1727457514062631
2.261946710584651,0.0,0.0,0.7705132427757893,-0.20315467135356885
2.324778563656447,0.0,0.0,0.7289686274214114,-0.2343023701176717
2.387610416728243,0.0,0.0,0.6845471059286885,-0.2656976298823284
2.450442269800039,0.0,0.0,0.6374239897486895,-0.29684532864643126
2.5132741228718345,0.0,0.0,0.5877852522924732,-0.3272542485937368
2.5761059759436304,0.0,0.0,0.5358267949789967,-0.35644482289126816
2.6389378290154264,0.0,0.0,0.4817536741017152,-0.3839566987447492
2.7017696820872223,0.0,0.0,0.4257792915650725,-0.4093559974371725
2.7646015351590183,0.0,0.0,0.36812455268467775,-0.43224215685535294
2.8274333882308142,0.0,0.0,0.3090169943749471,-0.452254248593737
2.8902652413026098,0.0,0.0,0.24868988716485482,-0.46907667001096587
2.9530970943744057,0.0,0.0,0.18738131458572457,-0.48244412147206284
3.0159289474462017,0.0,0.0,0.1253332335643041,-0.49214579028215777
3.0787608005179976,0.0,0.0,0.06279051952931314,-0.4980286753286195
3.1415926535897936,0.0,0.0,-3.216285744678249e-16,-0.5
3.204424506661589,0.0,0.0,-0.06279051952931335,-0.4980286753286195
3.267256359733385,0.0,0.0,-0.12533323356430429,-0.49214579028215777
3.330088212805181,0.0,0.0,-0.18738131458572477,-0.48244412147206284
3.392920065876977,0.0,0.0,-0.24868988716485502,-0.46907667001096587
3.455751918948773,0.0,0.0,-0.30901699437494773,-0.45225424859373675
3.518583772020569,0.0,0.0,-0.3681245526846783,-0.4322421568553527
3.5814156250923643,0.0,0.0,-0.42577929156507266,-0.40935599743717244
3.6442474781641603,0.0,0.0,-0.4817536741017154,-0.38395669874474914
3.7070793312359562,0.0,0.0,-0.5358267949789968,-0.35644482289126805
3.769911184307752,0.0,0.0,-0.5877852522924734,-0.3272542485937367
3.832743037379548,0.0,0.0,-0.63742398974869,-0.296845328646431
3.8955748904513436,0.0,0.0,-0.6845471059286887,-0.2656976298823283
3.9584067435231396,0.0,0.0,-0.7289686274214116,-0.2343023701176716
4.0212385965949355,0.0,0.0,-0.7705132427757894,-0.20315467135356874
4.084070449666731,0.0,0.0,-0.8090169943749473,-0.17274575140626322
4.1469023027385274,0.0,0.0,-0.8443279255020153,-0.14355517710873167
4.209734155810323,0.0,0.0,-0.8763066800438636,-0.11604330125525084
4.272566008882119,0.0,0.0,-0.9048270524660198,-0.09064400256282737
4.335397861953915,0.0,0.0,-0.9297764858882515,-0.06775784314464706
4.39822971502571,0.0,0.0,-0.9510565162951535,-0.04774575140626319
4.461061568097507,0.0,0.0,-0.9685831611286312,-0.03092332998903402
4.523893421169302,0.0,0.0,-0.9822872507286887,-0.017555878527937135
4.586725274241099,0.0,0.0,-0.9921147013144779,-0.007854209717842148
4.649557127312894,0.0,0.0,-0.9980267284282716,-0.001971324671380531
4.71238898038469,0.0,0.0,-1.0,-0.0
4.775220833456486,0.0,-0.0,-0.9980267284282716,-0.0019713246713805588
4.838052686528282,0.0,-0.0,-0.9921147013144779,-0.007854209717842231
4.900884539600078,0.0,-0.0,-0.9822872507286886,-0.017555878527937246
4.9637163926718735,0.0,-0.0,-0.9685831611286311,-0.030923329989034132
5.026548245743669,0.0,-0.0,-0.9510565162951536,-0.04774575140626308
5.089380098815465,0.0,-0.0,-0.9297764858882512,-0.06775784314464722
5.152211951887261,0.0,-0.0,-0.9048270524660196,-0.09064400256282756
5.215043804959057,0.0,-0.0,-0.8763066800438634,-0.11604330125525106
5.277875658030853,0.0,-0.0,-0.844327925502015,-0.1435551771087319
5.340707511102649,0.0,-0.0,-0.809016994374947,-0.17274575140626347
5.403539364174445,0.0,-0.0,-0.770513242775789,-0.20315467135356902
5.46637121724624,0.0,-0.0,-0.7289686274214116,-0.23430237011767163
5.529203070318037,0.0,-0.0,-0.6845471059286883,-0.2656976298823286
5.592034923389832,0.0,-0.0,-0.6374239897486896,-0.2968453286464312
5.6548667764616285,0.0,-0.0,-0.5877852522924726,-0.3272542485937372
5.717698629533424,0.0,-0.0,-0.5358267949789963,-0.35644482289126833
5.7805304826052195,0.0,-0.0,-0.4817536741017153,-0.38395669874474914
5.843362335677016,0.0,-0.0,-0.4257792915650722,-0.4093559974371726
5.906194188748811,0.0,-0.0,-0.36812455268467786,-0.43224215685535294
5.969026041820608,0.0,-0.0,-0.3090169943749468,-0.4522542485937371
6.031857894892403,0.0,-0.0,-0.2486898871648545,-0.469076670010966
6.094689747964199,0.0,-0.0,-0.18738131458572468,-0.48244412147206284
6.157521601035995,0.0,-0.0,-0.1253332335643038,-0.4921457902821578
6.220353454107791,0.0,-0.0,-0.06279051952931326,-0.4980286753286195
6.283185307179586,0.0,-0.0,-2.4492127076447545e-16,-0.5
0.0,0.06283185307179587,-0.06279051952931337,0.0,-0.4980286753286195
0.06283185307179587,0.06283185307179587,-0.06266661678215212,0.06266661678215212,-0.49605735065723894
0.12566370614359174,0.06283185307179587,-0.06229539752820563,0.125085917057519,-0.49017446561077727
0.1884955592153876,0.06283185307179587,-0.061678326800275275,0.18701156036457953,-0.48047279680068233
0.25132741228718347,0.06283185307179587,-0.06081783989461139,0.24819915448033603,-0.46710534533958536
0.3141592653589793,0.06283185307179587,-0.05971733275991158,0.30840721992476633,-0.45028292392235636
0.3769911184307752,0.06283185307179587,-0.058381148595062604,0.36739814297001006,-0.43027083218397233
0.4398229715025711,0.06283185307179587,-0.056814560708518654,0.4249391133931967,-0.4073846727657919
0.5026548245743669,0.06283185307179587,-0.055023751706961985,0.48080304327203466,-0.38198537407336863
0.5654866776461628,0.06283185307179587,-0.05301578909537893,0.5347694631970943,-0.3544734982198876
0.6283185307179586,0.06283185307179587,-0.050798597384846544,0.5866253923638431,-0.32528292392235636
0.6911503837897546,0.06283185307179587,-0.04838092681810777,0.6361661791105809,-0.2948740039750506
0.7539822368615504,0.06283185307179587,-0.045772318836360903,0.6831963085850506,-0.2637263052109478
0.8168140899333463,0.06283185307179587,-0.04298306842355027,0.727530174352239,-0.23233104544629113
0.8796459430051422,0.06283185307179587,-0.04002418347676794,0.7689928108981795,-0.20118334668218826
0.942477796076938,0.06283185307179587,-0.03690734136311292,0.8074205841389022,-0.17077442673488258
1.0053096491487339,0.06283185307179587,-0.03364484283445807,0.8426618372094055,-0.14158385243735128
1.0681415022205298,0.06283185307179587,-0.030249563482002216,0.8745774889840174,-0.11407197658387025
1.1309733552923256,0.06283185307179587,-0.02673490292219391,0.9030415829660575,-0.08867267789144703
1.1938052083641215,0.06283185307179587,-0.023114731914567015,0.9279417843805866,-0.06578651847326655
1.2566370614359172,0.06283185307179587,-0.019403337620189857,0.9491798235084412,-0.045774426734882634
1.3194689145077132,0.06283185307179587,-0.015615367216767552,0.9666718835119211,-0.028952005317653573
1.3823007675795091,0.06283185307179587,-0.011765770092923348,0.9803489312215545,-0.015584553856556604
1.4451326206513049,0.06283185307179587,-0.007869738849791441,0.9901569895784802,-0.0058828850464617
1.5079644737231008,0.06283185307179587,-0.00394264934276108,0.9960573506572389,-0.0
1.5707963267948968,0.06283185307179587,1.009761264315359e-17,0.9980267284282716,0.001971324671380531
1.6336281798666925,0.06283185307179587,0.003942649342761086,0.9960573506572389,-0.0
1.6964600329384885,0.06283185307179587,0.007869738849791448,0.9901569895784801,-0.0058828850464617
1.7592918860102844,0.06283185307179587,0.011765770092923367,0.9803489312215544,-0.01558455385655666
1.8221237390820801,0.06283185307179587,0.015615367216767559,0.9666718835119211,-0.0289520053176536
1.884955592153876,0.06283185307179587,0.019403337620189864,0.9491798235084412,-0.04577442673488266
1.9477874452256718,0.06283185307179587,0.023114731914567022,0.9279417843805865,-0.06578651847326658
2.0106192982974678,0.06283185307179587,0.026734902922193913,0.9030415829660574,-0.08867267789144709
2.0734511513692637,0.06283185307179587,0.030249563482002233,0.8745774889840172,-0.11407197658387039
2.1362830044410597,0.06283185307179587,0.033644842834458094,0.8426618372094054,-0.14158385243735144
2.199114857512855,0.06283185307179587,0.03690734136311292,0.8074205841389022,-0.17077442673488258
2.261946710584651,0.06283185307179587,0.04002418347676795,0.7689928108981795,-0.20118334668218832
2.324778563656447,0.06283185307179587,0.04298306842355028,0.7275301743522389,-0.23233104544629116
2.387610416728243,0.06283185307179587,0.04577231883636091,0.6831963085850504,-0.2637263052109479
2.450442269800039,0.06283185307179587,0.04838092681810778,0.6361661791105807,-0.29487400397505076
2.5132741228718345,0.06283185307179587,0.05079859738484654,0.5866253923638433,-0.32528292392235625
2.5761059759436304,0.06283185307179587,0.05301578909537893,0.5347694631970943,-0.3544734982198876
2.6389378290154264,0.06283185307179587,0.055023751706961985,0.48080304327203455,-0.38198537407336863
2.7017696820872223,0.06283185307179587,0.05681456070851866,0.42493911339319645,-0.40738467276579193
2.7646015351590183,0.06283185307179587,0.05838114859506261,0.36739814297000983,-0.43027083218397244
2.8274333882308142,0.06283185307179587,0.05971733275991159,0.30840721992476605,-0.4502829239223564
2.8902652413026098,0.06283185307179587,0.06081783989461139,0.24819915448033605,-0.46710534533958536
2.9530970943744057,0.06283185307179587,0.061678326800275275,0.18701156036457947,-0.48047279680068233
3.0159289474462017,0.06283185307179587,0.06229539752820563,0.12508591705751884,-0.49017446561077727
